pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,src_port,dst_port,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
163,78,1722031317186077,716653056,1722031317902730.0,163,1,1.0,0.4785276073619632,9.465565364892345e-08,1,TCP,443,46110,78,78,0.624,0.624,1.248
164,794,1722031317186077,718152192,1722031317904229.2,164,1,1.0,4.841463414634147,9.523636318042903e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
165,794,1722031317186077,719683840,1722031317905760.8,165,1,1.0,4.8121212121212125,9.581707271193179e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
166,794,1722031317186077,720905728,1722031317906982.8,166,1,1.0,4.783132530120482,9.639778224345085e-08,1,UDP,443,38125,794,794,6.352,6.352,12.704
167,87,1722031317186306,721561856,1722031317907867.8,167,1,1.0,0.5209580838323353,9.697849177498806e-08,1,UDP,38125,443,87,87,0.696,0.696,1.392
168,826,1722031317186412,722874368,1722031317909286.2,168,1,1.0,4.916666666666667,9.755920130649445e-08,1,UDP,443,38125,826,826,6.608,6.608,13.216
169,388,1722031317190130,724022272,1722031317914152.2,169,1,1.0,2.2958579881656807,9.813991083780342e-08,1,UDP,443,38125,388,388,3.104,3.104,6.208
170,352,1722031317190130,725890048,1722031317916020.0,170,1,1.0,2.070588235294118,9.872062036928098e-08,1,UDP,443,38125,352,352,2.816,2.816,5.632
171,87,1722031317190652,726573824,1722031317917225.8,171,1,1.0,0.5087719298245614,9.930132990079544e-08,1,UDP,38125,443,87,87,0.696,0.696,1.392
172,288,1722031317190686,727938304,1722031317918624.2,172,1,1.0,1.6744186046511629,9.988203943229793e-08,1,UDP,38125,443,288,288,2.304,2.304,4.608
